AvaraPerformance,AvaraTiempo[ms],Avara2Performance,Avara2Tiempo[ms],CostoUniformePerformance,CostoUniformeTiempo[ms],ProfundidadPerformance,ProfundidadTiempo[ms],ConocimientoPerformance,ConocimientoTiempo[ms]
59,152,56,171,59,138,42,47,90,112
60,69,59,153,61,105,59,73,92,30
36,44,54,33,49,43,49,20,87,66
82,22,54,55,63,73,45,29,90,35
86,36,82,102,53,262,50,22,89,46
64,18,64,112,64,53,50,17,91,35
64,21,87,84,50,25,50,27,0,13
80,10,59,22,52,15,42,26,90,41
57,19,59,14,59,86,39,31,89,44
66,52,66,62,54,62,42,13,90,40
55,12,57,16,43,89,50,18,87,48
55,24,56,45,46,113,47,19,86,62
62,6,87,28,54,8,56,9,96,20
64,34,66,49,50,31,54,22,89,41
63,7,92,14,65,5,60,1,96,29
57,9,57,19,55,17,43,17,89,46
47,40,59,35,82,33,56,21,90,34
72,11,56,35,86,14,47,29,94,23
55,30,59,87,59,49,59,20,91,40
62,6,70,8,56,24,59,9,94,20
49,12,66,42,47,26,39,9,91,33
63,27,72,98,69,69,72,36,89,39
59,18,54,39,60,21,47,35,90,39
49,20,66,70,26,113,49,16,86,61
59,9,60,17,56,72,45,24,88,44
61,4,61,23,61,11,63,4,92,30
61,14,59,25,52,17,41,10,91,39
60,11,60,11,57,45,57,12,84,40
60,13,56,28,61,23,47,14,92,30
69,6,62,31,55,5,54,9,90,71
61,17,54,116,86,21,28,7,90,33
53,20,56,25,53,16,33,12,89,46
47,25,55,81,47,72,47,27,90,31
72,21,59,72,72,20,47,28,90,42
36,15,63,62,63,63,46,9,91,26
56,17,64,54,58,11,55,7,87,50
60,11,60,23,51,25,40,22,96,24
66,18,59,64,59,47,59,22,87,63
57,10,59,18,56,14,43,24,91,29
72,79,52,91,63,306,27,30,88,41
54,14,50,53,43,43,43,28,87,47
56,8,58,21,60,19,54,11,90,30
57,10,86,78,57,59,43,18,88,44
64,6,64,14,63,14,55,18,91,24
57,14,56,42,56,39,39,20,87,44
66,44,54,56,42,133,54,24,88,38
64,9,66,52,64,30,50,14,89,32
42,25,55,40,59,59,47,23,87,37
62,5,60,16,57,9,57,6,92,23
53,5,60,24,63,4,60,8,92,23
48,12,58,22,37,26,44,5,94,21
57,13,58,15,52,39,45,18,90,30
72,29,72,53,66,75,54,31,88,39
50,17,50,41,64,27,43,26,90,30
47,8,55,16,55,8,43,13,90,36
60,4,62,11,55,16,59,6,91,29
55,23,61,24,56,83,47,17,89,31
52,7,64,9,66,2,52,9,92,24
52,9,72,64,76,8,54,10,91,27
64,19,64,58,57,19,40,14,90,32
72,37,87,67,63,231,43,25,91,29
57,10,52,28,56,24,45,25,89,35
57,25,72,64,64,41,50,20,88,36
64,9,57,34,57,23,55,6,92,26
47,26,59,69,72,51,47,42,89,37
58,11,61,18,57,35,45,27,88,41
63,2,62,20,63,8,61,7,94,21
60,7,70,10,62,14,51,18,89,36
56,13,52,18,56,46,34,24,90,31
56,15,56,50,82,51,44,15,89,33
61,6,61,19,56,16,59,10,94,18
58,10,60,19,57,36,45,19,91,27
58,7,58,21,43,57,43,15,88,35
66,128,72,103,66,2572,59,66,86,45
52,19,59,18,57,38,45,19,89,38
72,16,72,96,51,54,45,19,88,43
56,15,69,47,59,34,47,16,91,29
55,10,60,15,56,22,57,6,89,42
56,14,86,37,57,24,45,23,89,32
56,13,86,37,59,31,47,25,91,28
67,32,48,34,56,60,34,35,90,31
72,48,66,93,54,156,66,32,87,39
52,22,72,80,56,26,44,15,88,33
49,20,59,31,42,20,49,13,88,75
72,20,45,47,61,59,63,19,92,22
61,10,63,22,56,10,55,15,91,28
52,51,52,73,45,162,36,25,86,49
59,8,60,24,56,22,52,11,91,24
55,14,59,57,56,25,59,9,90,26
59,21,59,35,47,49,51,15,90,26
63,24,54,50,63,44,45,31,88,33
55,8,59,29,56,7,29,11,90,37
72,25,54,60,72,64,45,24,90,29
86,19,87,35,88,14,47,24,94,23
61,11,56,38,56,25,47,14,92,22
59,12,62,17,61,20,47,10,94,29
63,28,31,10,54,33,42,19,91,26
61,6,61,18,59,21,45,26,89,42
50,21,46,16,59,11,50,7,89,29
63,16,82,42,63,38,40,13,91,26
